id,date,time,crime_type,city,state,location_description,victim_age,victim_gender,victim_race
303,19-09-2020,01:38:47,Homicide,Dallas,TX,8279 Maple Ave,42,Non-binary,Hispanic
304,10-04-2023,07:14:25,Drug Offense,Chicago,IL,5111 Broadway,29,Other,White
305,21-11-2024,02:13:49,Vandalism,New York,NY,2967 Maple Ave,48,Male,Asian
306,10-09-2022,00:41:27,Fraud,San Antonio,TX,8198 Elm St,49,Male,Hispanic
307,10-07-2023,03:35:09,Assault,Chicago,IL,8579 Elm St,25,Male,Other
308,26-05-2022,00:34:20,Theft,San Antonio,TX,4330 Maple Ave,44,Non-binary,Black
309,28-03-2022,16:11:20,Homicide,San Antonio,TX,5145 Pine St,78,Male,White
310,30-04-2021,21:09:45,Robbery,San Jose,CA,194 Broadway,84,Non-binary,Asian
311,29-05-2021,03:00:58,Theft,Dallas,TX,97 Pine St,52,Female,Hispanic
312,13-01-2021,06:36:00,Robbery,Phoenix,AZ,7647 Pine St,40,Female,Asian
313,27-10-2024,02:10:34,Assault,Chicago,IL,1802 Oak St,65,Male,White
314,02-03-2024,01:48:09,Domestic Violence,Los Angeles,CA,3309 Maple Ave,36,Other,White
315,18-04-2025,23:22:57,Drug Offense,New York,NY,71 Main St,90,Female,Hispanic
316,13-10-2023,14:25:47,Vandalism,Philadelphia,PA,7858 Pine St,90,Male,Asian
317,15-03-2022,18:36:41,Burglary,Philadelphia,PA,8893 Oak St,61,Female,Hispanic
318,18-01-2023,03:18:09,Robbery,New York,NY,7866 Main St,22,Non-binary,Hispanic
319,22-08-2021,22:59:41,Vandalism,San Antonio,TX,3060 Oak St,48,Non-binary,Black
320,18-10-2023,12:46:42,Drug Offense,Los Angeles,CA,7411 Pine St,34,Female,White
321,30-03-2024,07:38:27,Arson,Dallas,TX,2584 Maple Ave,30,Male,White
322,02-11-2023,00:34:04,Theft,Chicago,IL,1307 Elm St,69,Male,Asian
323,12-06-2024,18:20:23,Burglary,Dallas,TX,2819 Main St,19,Other,Asian
324,13-03-2024,16:24:37,Domestic Violence,New York,NY,8335 Pine St,82,Other,White
325,29-11-2024,08:08:40,Assault,San Jose,CA,7548 Oak St,76,Male,Other
326,06-10-2022,08:25:59,Theft,Philadelphia,PA,8414 Broadway,84,Female,Asian
327,23-02-2023,10:09:47,Homicide,San Jose,CA,2513 Pine St,89,Female,Asian
328,20-08-2022,01:40:04,Drug Offense,San Antonio,TX,5394 Pine St,28,Female,Other
329,31-08-2022,04:49:07,Fraud,San Antonio,TX,4115 Oak St,56,Female,Black
330,15-12-2024,23:52:50,Drug Offense,Philadelphia,PA,5712 Maple Ave,64,Male,Hispanic
331,29-11-2024,11:06:46,Drug Offense,Philadelphia,PA,5851 Oak St,61,Other,Hispanic
332,03-03-2023,10:30:24,Assault,New York,NY,9501 Elm St,15,Other,Black
333,16-03-2023,13:32:16,Arson,New York,NY,14 Broadway,47,Male,Hispanic
334,10-09-2023,06:18:02,Homicide,Dallas,TX,7779 Main St,69,Female,Hispanic
335,07-06-2021,04:18:53,Theft,New York,NY,4127 Broadway,25,Male,Asian
336,06-07-2023,18:53:00,Arson,Phoenix,AZ,105 Pine St,54,Female,Asian
337,01-11-2024,18:27:33,Assault,New York,NY,6696 Elm St,62,Other,White
338,29-12-2020,16:24:01,Theft,Phoenix,AZ,6060 Elm St,85,Female,Other
339,03-06-2024,22:58:49,Homicide,Dallas,TX,8881 Main St,41,Female,Hispanic
340,16-04-2025,10:06:00,Robbery,New York,NY,3195 Elm St,42,Other,Hispanic
341,04-10-2022,01:42:43,Robbery,Chicago,IL,8168 Elm St,27,Female,Hispanic
342,30-07-2024,15:39:50,Burglary,Dallas,TX,3350 Elm St,64,Non-binary,Black
343,11-12-2020,12:34:26,Theft,Philadelphia,PA,3974 Elm St,78,Female,Other
344,05-06-2025,18:38:28,Arson,San Jose,CA,7953 Main St,77,Non-binary,Black
345,21-07-2022,14:38:50,Burglary,Dallas,TX,2366 Maple Ave,44,Non-binary,Hispanic
346,11-05-2024,06:59:42,Vandalism,Dallas,TX,1152 Pine St,85,Male,Other
347,29-08-2023,17:17:41,Fraud,Phoenix,AZ,3983 Maple Ave,75,Male,Other
348,19-02-2025,03:54:34,Arson,Chicago,IL,3762 Elm St,13,Other,Other
349,31-03-2023,17:13:37,Domestic Violence,Houston,TX,8937 Main St,83,Non-binary,Other
350,12-04-2025,20:03:24,Fraud,San Antonio,TX,3322 Main St,79,Male,Black
351,21-07-2022,03:50:26,Theft,Dallas,TX,4606 Main St,60,Male,Other
352,25-06-2023,21:31:44,Vandalism,Dallas,TX,281 Pine St,64,Female,Asian
353,15-03-2022,08:24:47,Domestic Violence,Chicago,IL,5360 Elm St,86,Male,White
354,16-07-2022,05:12:22,Domestic Violence,Houston,TX,5577 Broadway,26,Male,Black
355,23-09-2023,20:46:07,Arson,San Jose,CA,7884 Elm St,51,Non-binary,Black
356,23-11-2021,08:37:35,Drug Offense,San Diego,CA,6725 Pine St,63,Other,Hispanic
357,19-06-2021,13:13:41,Burglary,Chicago,IL,1027 Elm St,47,Male,Other
358,09-06-2021,23:34:42,Theft,Dallas,TX,8093 Main St,23,Other,White
359,12-07-2025,18:48:10,Arson,Philadelphia,PA,8683 Maple Ave,12,Other,Hispanic
360,22-12-2023,10:55:23,Theft,Philadelphia,PA,259 Maple Ave,64,Male,White
361,25-05-2024,15:21:50,Robbery,Phoenix,AZ,1531 Maple Ave,61,Male,Other
362,11-07-2025,22:16:28,Assault,Philadelphia,PA,3876 Oak St,58,Male,White
363,10-05-2024,04:06:20,Robbery,Phoenix,AZ,8067 Main St,64,Female,Asian
364,22-12-2023,00:55:42,Burglary,Philadelphia,PA,7902 Pine St,20,Female,White
365,04-11-2024,12:51:15,Domestic Violence,Chicago,IL,5443 Maple Ave,54,Female,White
366,22-09-2024,20:53:32,Homicide,Philadelphia,PA,8436 Pine St,78,Non-binary,Black
367,24-11-2023,08:18:18,Burglary,Dallas,TX,3494 Pine St,89,Non-binary,Hispanic
368,18-10-2021,20:03:52,Arson,Dallas,TX,7179 Maple Ave,89,Male,Other
369,13-03-2024,00:01:07,Burglary,San Antonio,TX,3283 Pine St,40,Female,Black
370,11-03-2023,03:50:00,Burglary,Houston,TX,8216 Elm St,42,Other,Asian
371,24-08-2024,00:38:43,Burglary,Dallas,TX,9857 Maple Ave,57,Other,Hispanic
372,17-09-2024,20:43:27,Homicide,San Jose,CA,9172 Pine St,39,Non-binary,Asian
373,19-04-2023,18:22:20,Burglary,Chicago,IL,7820 Main St,14,Other,Asian
374,02-05-2021,22:59:02,Domestic Violence,San Jose,CA,6200 Pine St,58,Other,White
375,04-11-2023,08:49:14,Arson,Phoenix,AZ,329 Broadway,13,Female,White
376,30-06-2022,12:24:34,Vandalism,San Diego,CA,7978 Pine St,21,Male,Asian
377,09-12-2022,16:14:14,Assault,New York,NY,8610 Broadway,50,Female,Other
378,09-11-2023,01:58:04,Vandalism,Chicago,IL,1236 Elm St,34,Non-binary,Asian
379,08-01-2021,08:27:28,Robbery,San Antonio,TX,2098 Maple Ave,33,Other,White
380,29-04-2024,21:42:02,Theft,Houston,TX,377 Maple Ave,73,Female,Other
381,30-06-2024,13:21:41,Fraud,Phoenix,AZ,2301 Oak St,32,Non-binary,Black
382,28-12-2023,15:27:22,Vandalism,Phoenix,AZ,8733 Elm St,80,Female,Hispanic
383,10-12-2024,06:11:20,Domestic Violence,Phoenix,AZ,6879 Pine St,63,Other,White
384,24-02-2025,09:28:09,Domestic Violence,Chicago,IL,3081 Maple Ave,18,Male,Asian
385,22-07-2022,19:23:43,Domestic Violence,Chicago,IL,9108 Pine St,83,Female,Black
386,17-03-2021,12:44:24,Fraud,San Diego,CA,7543 Oak St,20,Non-binary,Hispanic
387,25-11-2022,07:47:47,Theft,San Diego,CA,8353 Broadway,58,Non-binary,Hispanic
388,17-01-2025,22:56:34,Fraud,Philadelphia,PA,1341 Broadway,35,Non-binary,Other
389,12-07-2021,00:16:43,Assault,Houston,TX,3257 Oak St,48,Male,White
390,22-04-2024,08:56:08,Theft,Philadelphia,PA,7016 Maple Ave,49,Other,White
391,30-01-2022,00:50:36,Assault,San Diego,CA,6668 Maple Ave,73,Female,Hispanic
392,01-12-2020,06:28:30,Drug Offense,San Antonio,TX,7478 Maple Ave,29,Non-binary,Other
393,05-12-2021,04:35:21,Domestic Violence,San Diego,CA,795 Pine St,53,Male,Black
394,08-01-2025,13:59:15,Drug Offense,Houston,TX,5442 Pine St,21,Male,Black
395,26-02-2022,20:47:30,Fraud,New York,NY,3599 Broadway,75,Female,Black
396,26-11-2020,14:35:21,Domestic Violence,Philadelphia,PA,2943 Elm St,64,Non-binary,Black
397,18-12-2021,07:54:38,Robbery,Houston,TX,2564 Main St,35,Male,Asian
398,08-01-2024,04:41:39,Domestic Violence,Dallas,TX,8972 Oak St,52,Non-binary,White
399,03-03-2024,15:44:59,Assault,Philadelphia,PA,6800 Main St,62,Other,Hispanic
400,04-12-2023,01:34:55,Robbery,San Antonio,TX,4136 Oak St,19,Non-binary,White
401,08-02-2022,13:38:53,Domestic Violence,San Antonio,TX,3064 Broadway,22,Non-binary,Hispanic
402,07-03-2025,22:16:58,Robbery,New York,NY,4745 Oak St,46,Female,Asian
403,11-03-2021,22:49:07,Homicide,San Jose,CA,4695 Elm St,22,Male,Hispanic
404,09-01-2022,15:28:14,Vandalism,San Jose,CA,3256 Pine St,79,Female,Other
405,27-10-2024,08:18:43,Vandalism,New York,NY,5268 Main St,74,Female,Asian
406,22-12-2020,00:00:51,Robbery,New York,NY,9006 Maple Ave,89,Non-binary,Black
407,27-04-2022,11:19:05,Assault,Los Angeles,CA,5742 Oak St,84,Male,Black
408,06-02-2023,01:42:26,Domestic Violence,Houston,TX,474 Main St,47,Non-binary,Other
409,25-09-2024,05:53:13,Domestic Violence,San Jose,CA,2406 Maple Ave,50,Female,White
410,13-10-2021,15:33:33,Burglary,Philadelphia,PA,2638 Pine St,19,Other,Black
411,19-12-2020,04:41:50,Arson,Los Angeles,CA,9586 Elm St,63,Other,Other
412,05-07-2022,09:37:07,Homicide,Philadelphia,PA,4853 Broadway,77,Non-binary,Hispanic
413,24-02-2024,17:55:50,Assault,Dallas,TX,2390 Oak St,15,Female,Black
414,29-12-2021,00:30:10,Arson,Los Angeles,CA,9040 Pine St,18,Other,Black
415,04-10-2022,12:31:50,Drug Offense,Houston,TX,9814 Maple Ave,41,Other,Hispanic
416,30-11-2022,10:45:33,Arson,Dallas,TX,7997 Main St,76,Other,Black
417,28-03-2025,23:06:19,Burglary,Los Angeles,CA,2313 Maple Ave,70,Other,Black
418,14-02-2021,07:57:11,Arson,New York,NY,8435 Main St,70,Male,Asian
419,25-10-2021,20:43:58,Vandalism,New York,NY,8377 Main St,55,Female,Asian
420,16-06-2022,00:02:44,Vandalism,San Jose,CA,7698 Broadway,46,Other,Black
421,12-07-2024,11:20:33,Burglary,San Diego,CA,7456 Elm St,33,Non-binary,Black
422,10-03-2022,10:46:20,Drug Offense,San Antonio,TX,1965 Maple Ave,61,Male,Other
423,05-02-2021,13:52:38,Robbery,Phoenix,AZ,9085 Pine St,14,Other,Black
424,10-02-2023,03:41:50,Fraud,Chicago,IL,6822 Pine St,74,Non-binary,White
425,22-09-2023,23:20:39,Assault,Dallas,TX,1410 Broadway,70,Male,Hispanic
426,10-07-2021,04:34:26,Fraud,Chicago,IL,5398 Oak St,28,Male,Other
427,18-01-2023,06:22:49,Homicide,Philadelphia,PA,1529 Maple Ave,28,Other,Other
428,04-04-2022,18:24:09,Burglary,Philadelphia,PA,3216 Elm St,77,Female,White
429,13-09-2024,07:20:35,Homicide,Houston,TX,554 Main St,30,Other,Other
430,02-12-2020,21:59:17,Fraud,Phoenix,AZ,2085 Pine St,30,Other,White
431,26-10-2022,00:48:41,Arson,Houston,TX,480 Broadway,64,Other,Hispanic
432,26-09-2020,22:21:42,Homicide,San Antonio,TX,2515 Elm St,55,Male,Asian
433,20-05-2025,23:43:34,Domestic Violence,San Antonio,TX,7578 Elm St,52,Male,Hispanic
434,10-08-2020,06:47:44,Fraud,Philadelphia,PA,2126 Oak St,83,Male,Hispanic
435,21-08-2023,01:55:38,Vandalism,Chicago,IL,7594 Broadway,31,Other,Asian
436,30-01-2021,17:44:52,Theft,San Diego,CA,19 Maple Ave,70,Non-binary,Other
437,13-01-2025,04:58:38,Assault,Los Angeles,CA,5881 Oak St,21,Female,Hispanic
438,03-04-2024,22:18:08,Domestic Violence,Los Angeles,CA,7745 Broadway,21,Female,Hispanic
439,06-12-2020,21:12:55,Domestic Violence,Los Angeles,CA,9037 Broadway,68,Other,White
440,29-11-2024,18:41:29,Homicide,Dallas,TX,2328 Main St,13,Male,Hispanic
441,12-09-2024,05:14:30,Domestic Violence,Chicago,IL,4898 Oak St,82,Female,Other
442,31-08-2023,03:53:37,Domestic Violence,San Antonio,TX,8544 Oak St,13,Male,Black
443,17-12-2022,12:23:18,Homicide,Los Angeles,CA,1258 Oak St,73,Female,Black
444,11-07-2021,09:46:50,Vandalism,Los Angeles,CA,779 Pine St,90,Other,Other
445,17-09-2020,12:48:25,Fraud,San Jose,CA,5373 Broadway,77,Non-binary,Hispanic
446,09-05-2024,21:09:21,Domestic Violence,San Jose,CA,4786 Oak St,80,Non-binary,Hispanic
447,01-08-2020,15:36:57,Vandalism,Los Angeles,CA,5798 Oak St,34,Male,Hispanic
448,26-03-2023,08:58:30,Robbery,Phoenix,AZ,9651 Main St,82,Other,White
449,01-01-2022,07:13:08,Theft,Chicago,IL,7099 Pine St,87,Other,Other
450,01-08-2021,18:24:37,Fraud,Philadelphia,PA,4973 Elm St,90,Female,Other
451,10-05-2023,10:06:19,Theft,Chicago,IL,6646 Pine St,41,Male,Hispanic
452,22-01-2022,19:31:10,Assault,Phoenix,AZ,161 Pine St,12,Male,Asian
453,14-07-2024,00:13:09,Theft,Philadelphia,PA,9221 Maple Ave,77,Non-binary,White
454,24-10-2024,03:50:44,Robbery,Chicago,IL,6925 Pine St,73,Male,White
455,07-11-2022,09:45:43,Homicide,Houston,TX,5766 Broadway,72,Other,Asian
456,28-03-2021,05:15:08,Drug Offense,Houston,TX,6831 Oak St,54,Non-binary,White
457,18-07-2021,13:34:45,Burglary,Philadelphia,PA,8611 Elm St,20,Non-binary,Asian
458,11-06-2025,23:54:00,Robbery,Philadelphia,PA,5201 Elm St,12,Female,White
459,07-06-2021,14:02:56,Homicide,Houston,TX,3614 Pine St,15,Female,Black
460,07-03-2021,17:49:27,Robbery,San Jose,CA,6946 Main St,47,Other,Asian
461,27-06-2025,01:47:02,Burglary,San Diego,CA,1595 Oak St,38,Other,White
462,23-10-2022,21:44:04,Burglary,Phoenix,AZ,8119 Maple Ave,57,Male,Other
463,23-03-2022,04:21:45,Robbery,San Diego,CA,8420 Oak St,44,Male,Black
464,29-08-2020,01:24:14,Theft,Houston,TX,1065 Oak St,46,Male,Asian
465,22-02-2024,12:03:58,Vandalism,Phoenix,AZ,4602 Main St,23,Non-binary,Black
466,22-09-2022,08:04:51,Burglary,Philadelphia,PA,8033 Maple Ave,85,Male,Other
467,20-11-2024,14:11:12,Burglary,New York,NY,7945 Main St,24,Non-binary,Other
468,18-12-2022,10:05:40,Assault,Phoenix,AZ,8802 Maple Ave,25,Other,Hispanic
469,05-08-2022,21:24:16,Assault,San Diego,CA,4907 Pine St,89,Non-binary,Asian
470,15-08-2021,22:38:36,Domestic Violence,San Diego,CA,8560 Maple Ave,84,Non-binary,Asian
471,29-11-2020,01:44:16,Drug Offense,Dallas,TX,202 Broadway,45,Non-binary,Hispanic
472,09-03-2022,19:36:09,Robbery,Dallas,TX,5922 Broadway,49,Non-binary,Hispanic
473,27-06-2021,03:04:38,Burglary,New York,NY,5326 Pine St,52,Female,Black
474,21-07-2024,03:50:01,Drug Offense,San Antonio,TX,47 Elm St,74,Other,Black
475,20-06-2022,15:55:08,Drug Offense,San Diego,CA,5427 Oak St,30,Male,Other
476,24-11-2020,08:15:51,Drug Offense,San Antonio,TX,515 Maple Ave,67,Male,Black
477,22-06-2025,05:08:07,Domestic Violence,Houston,TX,199 Elm St,52,Male,White
478,12-09-2022,16:21:02,Drug Offense,New York,NY,6777 Main St,18,Female,Other
479,14-12-2020,20:41:56,Burglary,San Jose,CA,2494 Oak St,47,Male,White
480,21-02-2024,14:49:35,Vandalism,San Antonio,TX,6344 Elm St,83,Male,Black
481,03-02-2023,01:55:12,Homicide,Philadelphia,PA,5710 Oak St,22,Non-binary,Other
482,06-01-2024,10:11:31,Vandalism,Dallas,TX,743 Broadway,51,Other,Asian
483,13-10-2022,16:52:34,Vandalism,San Antonio,TX,2418 Maple Ave,89,Female,White
484,13-11-2024,13:34:46,Assault,Houston,TX,2642 Broadway,28,Male,Black
485,01-09-2022,15:32:33,Burglary,Chicago,IL,6497 Oak St,14,Non-binary,Asian
486,10-08-2021,06:07:46,Robbery,Chicago,IL,9039 Main St,75,Male,Asian
487,04-07-2022,02:35:39,Robbery,Los Angeles,CA,1656 Elm St,53,Other,Hispanic
488,11-12-2023,14:03:18,Vandalism,San Diego,CA,7236 Broadway,86,Non-binary,Black
489,17-05-2023,06:07:08,Assault,Los Angeles,CA,55 Main St,74,Female,Black
490,13-02-2022,02:55:57,Robbery,Los Angeles,CA,9320 Elm St,67,Male,Hispanic
491,03-02-2021,13:38:03,Burglary,Los Angeles,CA,5284 Pine St,80,Male,White
492,15-01-2023,11:35:14,Domestic Violence,San Antonio,TX,9278 Broadway,59,Non-binary,Black
493,22-03-2023,00:00:33,Vandalism,New York,NY,9901 Broadway,88,Non-binary,Asian
494,11-09-2024,23:25:58,Homicide,San Antonio,TX,9426 Broadway,49,Other,Asian
495,28-03-2023,03:44:55,Robbery,Dallas,TX,5576 Broadway,30,Non-binary,Hispanic
496,20-10-2023,03:17:54,Assault,San Jose,CA,5842 Broadway,86,Female,Asian
497,20-01-2021,04:22:39,Vandalism,Chicago,IL,6857 Main St,70,Other,Other
498,01-07-2025,10:00:50,Arson,San Jose,CA,6126 Elm St,26,Male,Black
499,04-01-2022,17:16:21,Drug Offense,Dallas,TX,4027 Main St,19,Male,Other
500,13-01-2021,17:47:35,Fraud,San Antonio,TX,2313 Maple Ave,31,Female,Other
501,30-10-2024,14:21:42,Fraud,New York,NY,7401 Main St,74,Other,Hispanic
502,05-10-2021,13:41:45,Domestic Violence,San Jose,CA,6596 Broadway,40,Female,Other
503,13-07-2022,16:34:56,Assault,Houston,TX,578 Main St,81,Non-binary,Black
504,11-05-2024,11:17:04,Assault,Chicago,IL,5390 Pine St,74,Male,Hispanic
505,24-11-2023,17:30:48,Theft,Chicago,IL,5909 Main St,69,Other,Other
506,11-10-2024,14:56:58,Homicide,Phoenix,AZ,8752 Pine St,89,Non-binary,Hispanic
507,11-11-2022,12:38:05,Vandalism,Los Angeles,CA,4383 Oak St,79,Other,Other
508,15-08-2021,02:53:52,Theft,Los Angeles,CA,8601 Pine St,24,Non-binary,Hispanic
509,09-12-2022,16:22:52,Fraud,Los Angeles,CA,3884 Pine St,81,Non-binary,Black
510,17-12-2020,19:50:08,Burglary,Houston,TX,3387 Main St,54,Non-binary,White
511,07-07-2024,11:24:56,Domestic Violence,San Diego,CA,5695 Pine St,87,Male,Asian
512,01-07-2022,01:12:07,Robbery,Philadelphia,PA,399 Main St,43,Male,Other
513,30-04-2021,18:09:47,Arson,Dallas,TX,8709 Maple Ave,25,Male,White
514,17-09-2022,05:43:40,Robbery,San Jose,CA,7583 Pine St,22,Female,Asian
515,07-07-2025,08:50:39,Vandalism,Phoenix,AZ,1448 Oak St,51,Female,Hispanic
516,17-12-2021,10:05:42,Homicide,Houston,TX,5118 Broadway,14,Female,Other
517,05-01-2022,02:38:24,Robbery,Dallas,TX,3824 Maple Ave,69,Female,Asian
518,06-07-2025,22:15:23,Fraud,Los Angeles,CA,3588 Oak St,82,Female,Asian
519,06-06-2025,17:31:24,Domestic Violence,Los Angeles,CA,7853 Oak St,34,Male,Asian
520,24-10-2021,22:46:20,Assault,Phoenix,AZ,6143 Pine St,40,Non-binary,Asian
521,14-10-2024,12:07:28,Theft,Dallas,TX,6327 Maple Ave,67,Other,Hispanic
522,04-12-2021,15:54:26,Theft,Los Angeles,CA,4899 Pine St,50,Male,Other
523,11-07-2025,09:39:20,Vandalism,San Diego,CA,9495 Maple Ave,76,Male,White
524,08-11-2023,22:07:11,Homicide,Phoenix,AZ,9321 Pine St,23,Male,Hispanic
525,03-01-2022,01:03:02,Robbery,Chicago,IL,4888 Oak St,56,Male,White
526,19-02-2022,07:51:04,Burglary,Phoenix,AZ,4056 Elm St,69,Female,Black
527,03-10-2023,00:19:18,Robbery,Houston,TX,9854 Maple Ave,19,Other,Asian
528,27-04-2021,17:45:04,Theft,Chicago,IL,9992 Elm St,50,Other,Asian
529,30-05-2022,19:08:48,Vandalism,San Jose,CA,5884 Maple Ave,34,Male,Hispanic
530,17-05-2023,19:44:08,Drug Offense,San Diego,CA,2202 Main St,23,Non-binary,Other
531,13-09-2023,13:17:28,Burglary,Phoenix,AZ,7950 Pine St,77,Male,White
532,20-05-2022,16:29:38,Assault,San Diego,CA,5137 Maple Ave,40,Other,Hispanic
533,17-11-2020,21:35:20,Theft,San Diego,CA,8280 Oak St,66,Other,Asian
534,05-12-2020,11:47:45,Fraud,Phoenix,AZ,5300 Main St,19,Female,Other
535,21-03-2022,18:14:26,Robbery,Los Angeles,CA,630 Broadway,63,Other,White
536,20-09-2021,06:39:40,Theft,Phoenix,AZ,7939 Main St,21,Other,White
537,10-11-2020,02:30:25,Homicide,Philadelphia,PA,5120 Oak St,29,Male,Other
538,29-08-2022,08:16:18,Homicide,Phoenix,AZ,5582 Elm St,31,Other,Black
539,14-06-2023,02:52:56,Burglary,Houston,TX,8471 Oak St,61,Male,White
540,30-08-2020,01:52:07,Robbery,San Jose,CA,5977 Main St,22,Other,Hispanic
541,03-01-2022,11:06:48,Burglary,New York,NY,7575 Main St,30,Female,Hispanic
542,14-07-2024,19:03:23,Drug Offense,Philadelphia,PA,5053 Pine St,78,Other,Asian
543,10-02-2025,15:31:14,Drug Offense,San Jose,CA,5003 Oak St,76,Male,White
544,23-09-2021,15:54:26,Fraud,New York,NY,1267 Pine St,70,Female,Other
545,04-06-2024,05:14:24,Theft,San Jose,CA,9746 Elm St,85,Male,Hispanic
546,07-03-2024,01:36:31,Arson,San Diego,CA,3467 Oak St,85,Other,White
547,27-04-2021,01:31:58,Vandalism,Chicago,IL,4455 Elm St,52,Male,Other
548,29-10-2021,10:06:57,Burglary,Phoenix,AZ,8203 Oak St,33,Female,Other
549,25-10-2021,19:55:40,Burglary,Houston,TX,1380 Oak St,22,Male,Black
550,18-12-2022,05:08:56,Burglary,Houston,TX,8417 Maple Ave,74,Male,Asian
551,11-10-2024,09:24:41,Vandalism,New York,NY,9843 Main St,27,Non-binary,Black
552,24-03-2022,22:03:46,Homicide,Philadelphia,PA,9272 Maple Ave,29,Male,Other
553,19-12-2024,17:47:50,Domestic Violence,Chicago,IL,5906 Oak St,24,Other,Asian
554,06-07-2024,00:49:24,Robbery,San Jose,CA,244 Maple Ave,71,Female,Hispanic
555,11-02-2023,16:36:44,Vandalism,New York,NY,1448 Maple Ave,28,Male,Asian
556,01-05-2021,01:31:19,Drug Offense,San Jose,CA,2815 Oak St,30,Female,White
557,02-08-2024,04:36:22,Vandalism,San Diego,CA,1944 Maple Ave,19,Non-binary,Black
558,20-12-2021,18:41:44,Domestic Violence,San Diego,CA,3820 Pine St,20,Other,Other
559,24-02-2021,06:08:06,Robbery,San Antonio,TX,242 Elm St,16,Non-binary,Asian
560,24-01-2023,03:39:11,Theft,Dallas,TX,9362 Main St,47,Male,White
561,04-02-2021,00:39:35,Burglary,Dallas,TX,3026 Pine St,18,Non-binary,Black
562,04-11-2024,16:16:07,Theft,San Antonio,TX,9955 Pine St,35,Non-binary,White
563,23-10-2022,07:43:04,Theft,San Antonio,TX,4785 Main St,61,Other,Asian
564,13-08-2021,11:44:20,Domestic Violence,San Diego,CA,5721 Maple Ave,62,Male,Hispanic
565,21-04-2025,18:31:27,Arson,Los Angeles,CA,5479 Maple Ave,43,Other,White
566,11-05-2021,01:38:28,Theft,New York,NY,5209 Pine St,67,Non-binary,Asian
567,21-12-2021,00:41:14,Vandalism,Los Angeles,CA,3966 Pine St,49,Non-binary,White
568,31-12-2022,17:05:43,Homicide,Chicago,IL,8685 Pine St,72,Other,Black
569,24-04-2021,03:46:51,Burglary,Dallas,TX,3183 Broadway,58,Other,Other
570,26-09-2022,04:32:24,Vandalism,Houston,TX,6718 Main St,66,Other,Asian
571,07-11-2023,10:49:47,Burglary,Chicago,IL,7437 Main St,76,Female,Black
572,14-02-2023,13:17:28,Robbery,Phoenix,AZ,9286 Elm St,72,Non-binary,Asian
573,01-03-2021,00:33:05,Robbery,San Jose,CA,2535 Elm St,69,Other,Asian
574,24-01-2022,20:35:40,Homicide,Chicago,IL,1695 Main St,40,Non-binary,Hispanic
575,05-07-2025,23:14:55,Burglary,Los Angeles,CA,3414 Oak St,44,Female,White
576,12-12-2024,23:17:22,Domestic Violence,Los Angeles,CA,1502 Pine St,40,Other,Hispanic
577,09-08-2021,15:27:50,Arson,Houston,TX,842 Pine St,41,Male,Other
578,23-05-2025,21:42:49,Burglary,Phoenix,AZ,3722 Broadway,46,Other,White
579,09-07-2023,06:05:33,Arson,Houston,TX,3709 Main St,16,Female,White
580,24-08-2022,20:54:06,Robbery,Phoenix,AZ,9192 Broadway,90,Other,Asian
581,20-05-2025,22:47:25,Domestic Violence,Dallas,TX,125 Pine St,68,Other,Other
582,16-09-2020,15:50:34,Drug Offense,San Diego,CA,872 Oak St,78,Male,Other
583,06-03-2025,09:23:20,Domestic Violence,Dallas,TX,3279 Pine St,84,Male,Hispanic
584,27-10-2020,11:54:15,Theft,Dallas,TX,7480 Broadway,84,Female,Asian
585,16-09-2022,08:07:28,Domestic Violence,Los Angeles,CA,4511 Elm St,56,Other,Hispanic
586,18-11-2024,04:37:05,Domestic Violence,New York,NY,2090 Oak St,15,Non-binary,Asian
587,24-11-2022,05:28:41,Arson,San Jose,CA,2555 Maple Ave,80,Male,Other
588,28-01-2022,02:54:33,Homicide,Houston,TX,5751 Elm St,32,Female,Black
589,02-08-2021,22:11:29,Arson,Dallas,TX,417 Elm St,84,Non-binary,Other
590,11-12-2024,22:27:43,Domestic Violence,Los Angeles,CA,8265 Main St,13,Male,Other
591,01-03-2024,14:14:41,Vandalism,Phoenix,AZ,1625 Broadway,30,Female,Other
592,20-07-2024,10:56:34,Arson,New York,NY,906 Broadway,70,Male,White
593,03-05-2023,09:05:47,Assault,New York,NY,9433 Pine St,68,Non-binary,Other
594,07-12-2021,00:41:28,Drug Offense,Philadelphia,PA,8986 Oak St,56,Other,Black
595,03-01-2021,02:06:48,Robbery,New York,NY,2955 Pine St,61,Non-binary,Asian
596,16-10-2020,15:25:44,Theft,San Antonio,TX,6494 Maple Ave,63,Other,White
597,08-08-2024,01:27:05,Assault,Los Angeles,CA,683 Oak St,87,Non-binary,Asian
598,04-12-2021,13:03:38,Theft,San Jose,CA,3824 Maple Ave,68,Other,Asian
599,16-01-2022,02:37:38,Vandalism,New York,NY,667 Elm St,19,Male,White
600,02-09-2021,03:48:08,Burglary,Los Angeles,CA,6572 Broadway,85,Male,White
601,18-08-2020,09:02:10,Assault,New York,NY,5042 Maple Ave,14,Female,Asian
602,06-06-2023,20:14:47,Domestic Violence,New York,NY,7305 Broadway,26,Female,Asian
603,09-06-2023,22:44:56,Assault,Philadelphia,PA,7205 Pine St,66,Non-binary,Hispanic
604,04-10-2024,10:58:44,Homicide,New York,NY,1339 Elm St,16,Male,Other
